post_id,timestamp,content,likes,comments,shares
1898836462331678881,2025-03-09 20:41:05,fully diluted valuation fdv min k depression vegoybajcmkqeucznurlhvcntksvhskfpump mc k quick buy httpstcowaqmagxzph support grouping followed wallets depression ldo httpstcoepftdmynd,0,0,0
1898836461669302730,2025-03-09 20:41:05,rt glowannelee thomas markle still saying doesnt know meghan wont talk hes giving yet another interview arc,0,0,160
1898836461497262433,2025-03-09 20:41:05,rt sznrazzz know nigga depressed starts going walks,0,0,9068
1898836461039812681,2025-03-09 20:41:05,im feeling anxious want feel normal ohhhh godddd,0,0,0
1898836459915780184,2025-03-09 20:41:05,rt berryxpuppi video back summer wasnt constantly cold n depressed n self conscious httpstcojuqgekjhg,0,0,21
1898836457768239559,2025-03-09 20:41:04,chetzchee globalstats onlyfights video elisa jordana arrested april battery palm beach florida pleaded guilty got months probation hours community service ordered take mental health evaluation boyfriend zscorro wasnt charged,0,0,0
1898836456761602116,2025-03-09 20:41:04,mengistusports know girl dont think depressed think fucking stupid many cases im afraid,0,0,0
1898836456506003524,2025-03-09 20:41:04,un massatge jeddah et far sentir ms tranquil letting go stress tension accumulated body,0,0,0
1898836456262561954,2025-03-09 20:41:04,rt incandescentsan hobi san dance challenge behind scenes sannie overwhelmed got super nervous could sa,0,0,2670
1898836455876866053,2025-03-09 20:41:04,rt zxidart movie actually made cry sort hopeless spot made emotional comforting way movie,0,0,15
1898836455822406062,2025-03-09 20:41:04,rt sznrazzz know nigga depressed starts going walks,0,0,9068
1898836455725596814,2025-03-09 20:41:04,rt shreyasiyer overwhelmed ecstatic proud brilliant team champions weve earned proud way fought,0,0,1343
1898836455159390257,2025-03-09 20:41:04,rt harleyxwest dating tell im depressed nasty thing please httpstcoaczfwtzaek,0,0,108
1898836453658087495,2025-03-09 20:41:03,contrary walks cure depression somewhat httpstconxyivwbp,0,0,0
1898836453540745566,2025-03-09 20:41:03,rt rynkrynk fouryearold gets anxious whenever take nap daycares makeshift bomb shelter almost daily,0,0,4671
1898836452748005419,2025-03-09 20:41:03,rt rynkrynk fouryearold gets anxious whenever take nap daycares makeshift bomb shelter almost daily,0,0,4671
1898836451590013046,2025-03-09 20:41:03,rt toscaausten richest woman congress anxious afraidwithout pardon like thief night trump unmasked pelosis,0,0,4940
1898836450487226555,2025-03-09 20:41:03,selfish didnt help rather see sad poor ugly depressed fat tables turned amp experience loss wealth real estate assets via explosions uranus tower moments uranus hey dna,0,0,0
1898836449996177767,2025-03-09 20:41:03,rt toscaausten richest woman congress anxious afraidwithout pardon like thief night trump unmasked pelosis,0,0,4940
1898836449723871706,2025-03-09 20:41:02,linakayofficial goldingbf cant arrest even condemn traitors eu suicidal cult leftist elites fully aware let many islamists inside borders gates amp walls europe european christians could next sealed fate amp end europe,0,0,0
1898836449681641481,2025-03-09 20:41:02,grainy sabrina livestreams cure every stress,0,0,0
